ok,status,latency_ms,error
True,200,21.86,
True,200,28.73,
True,200,34.49,
True,200,18.28,
True,200,22.03,
True,200,34.71,
True,200,42.85,
True,200,26.09,
True,200,35.86,
True,200,22.06,
True,200,45.54,
True,200,39.99,
True,200,29.21,
True,200,23.67,
True,200,28.92,
True,200,35.62,
True,200,21.18,
True,200,16.66,
True,200,24.09,
True,200,32.41,
True,200,18.73,
True,200,31.25,
True,200,40.72,
True,200,37.94,
True,200,53.58,
True,200,62.79,
True,200,63.15,
True,200,50.85,
True,200,45.10,
True,200,66.66,
True,200,57.33,
True,200,58.39,
True,200,62.24,
True,200,61.12,
True,200,62.28,
True,200,62.14,
True,200,77.14,
True,200,40.17,
True,200,37.25,
True,200,36.25,
True,200,44.44,
True,200,33.91,
True,200,70.12,
True,200,71.59,
True,200,50.14,
True,200,49.44,
True,200,41.14,
True,200,46.74,
True,200,38.37,
True,200,48.00,
True,200,61.20,
True,200,60.39,
True,200,70.21,
True,200,52.39,
True,200,40.55,
True,200,49.57,
True,200,43.68,
True,200,33.49,
True,200,37.92,
True,200,22.67,
True,200,36.41,
True,200,64.81,
True,200,35.26,
True,200,74.18,
True,200,33.23,
True,200,48.70,
True,200,33.48,
True,200,31.95,
True,200,44.24,
True,200,29.08,
True,200,37.16,
True,200,43.28,
True,200,52.49,
True,200,30.06,
True,200,40.81,
True,200,54.87,
True,200,39.08,
True,200,48.99,
True,200,50.61,
True,200,60.53,
True,200,57.02,
True,200,62.72,
True,200,52.24,
True,200,48.78,
True,200,95.10,
True,200,30.62,
True,200,40.70,
True,200,46.87,
True,200,39.09,
True,200,42.72,
True,200,50.37,
True,200,35.45,
True,200,35.03,
True,200,53.20,
True,200,53.06,
True,200,44.96,
True,200,34.68,
True,200,49.37,
True,200,44.80,
True,200,63.16,
True,200,55.38,
True,200,40.15,
True,200,53.79,
True,200,42.66,
True,200,46.21,
True,200,42.30,
True,200,55.66,
True,200,45.67,
True,200,31.25,
True,200,53.11,
True,200,47.67,
True,200,45.34,
True,200,37.01,
True,200,55.56,
True,200,42.04,
True,200,38.25,
True,200,56.84,
True,200,36.37,
True,200,49.14,
True,200,38.56,
True,200,54.58,
True,200,49.08,
True,200,36.13,
True,200,60.06,
True,200,28.99,
True,200,64.18,
True,200,36.11,
True,200,49.58,
True,200,37.17,
True,200,61.73,
True,200,55.85,
True,200,43.23,
True,200,53.07,
True,200,42.53,
True,200,26.60,
True,200,48.25,
True,200,77.62,
True,200,28.54,
True,200,45.23,
True,200,51.60,
True,200,49.50,
True,200,45.89,
True,200,52.83,
True,200,47.21,
True,200,48.71,
True,200,50.46,
True,200,35.79,
True,200,34.77,
True,200,42.33,
True,200,46.19,
True,200,45.61,
True,200,37.63,
True,200,47.29,
True,200,53.23,
True,200,45.47,
True,200,25.69,
True,200,35.68,
True,200,63.60,
True,200,44.01,
True,200,45.24,
True,200,57.85,
True,200,45.19,
True,200,46.00,
True,200,51.60,
True,200,45.56,
True,200,41.15,
True,200,38.54,
True,200,59.80,
True,200,46.60,
True,200,49.14,
True,200,41.00,
True,200,19.12,
True,200,56.40,
True,200,63.66,
True,200,71.72,
True,200,48.55,
True,200,42.23,
True,200,43.85,
True,200,48.94,
True,200,47.91,
True,200,42.70,
True,200,36.28,
True,200,66.63,
True,200,61.32,
True,200,58.69,
True,200,38.85,
True,200,57.24,
True,200,38.42,
True,200,52.83,
True,200,52.47,
True,200,42.09,
True,200,37.31,
True,200,50.28,
True,200,45.21,
True,200,43.22,
True,200,47.13,
True,200,33.32,
True,200,40.55,
True,200,59.12,
True,200,45.09,
True,200,53.04,
True,200,41.51,
True,200,45.45,
True,200,43.74,
True,200,64.74,
True,200,63.51,
True,200,74.55,
True,200,36.23,
True,200,43.45,
True,200,40.99,
True,200,52.77,
True,200,44.93,
True,200,62.41,
True,200,36.45,
True,200,29.80,
True,200,39.98,
True,200,46.01,
True,200,48.49,
True,200,59.87,
True,200,46.86,
True,200,51.74,
True,200,51.82,
True,200,44.51,
True,200,46.58,
True,200,45.55,
True,200,45.00,
True,200,56.62,
True,200,46.94,
True,200,34.99,
True,200,42.65,
True,200,44.53,
True,200,40.56,
True,200,45.88,
True,200,40.22,
True,200,45.31,
True,200,41.95,
True,200,27.01,
True,200,43.03,
True,200,62.86,
True,200,53.14,
True,200,39.71,
True,200,40.14,
True,200,39.89,
True,200,43.30,
True,200,31.85,
True,200,48.72,
True,200,67.97,
True,200,50.45,
True,200,59.27,
True,200,33.49,
True,200,31.17,
True,200,50.06,
True,200,26.59,
True,200,65.77,
True,200,36.39,
True,200,58.28,
True,200,40.62,
True,200,65.41,
True,200,62.01,
True,200,46.70,
True,200,23.49,
True,200,45.99,
True,200,59.79,
True,200,46.65,
True,200,46.67,
True,200,50.75,
True,200,43.12,
True,200,64.11,
True,200,42.06,
True,200,39.34,
True,200,50.19,
True,200,45.41,
True,200,69.90,
True,200,56.64,
True,200,47.42,
True,200,48.27,
True,200,50.57,
True,200,28.44,
True,200,32.79,
True,200,54.19,
True,200,52.74,
True,200,31.08,
True,200,55.83,
True,200,56.00,
True,200,50.09,
True,200,62.16,
True,200,46.92,
True,200,39.04,
True,200,56.88,
True,200,44.86,
True,200,53.61,
True,200,41.04,
True,200,36.41,
True,200,58.18,
True,200,34.23,
True,200,35.78,
True,200,58.90,
True,200,50.50,
True,200,46.89,
True,200,33.85,
True,200,49.87,
True,200,65.78,
True,200,42.78,
True,200,49.15,
True,200,46.46,
True,200,46.82,
True,200,42.78,
True,200,30.94,
True,200,50.04,
True,200,49.54,
True,200,47.81,
True,200,46.57,
True,200,50.93,
True,200,41.62,
True,200,49.41,
True,200,45.94,
True,200,63.75,
True,200,52.03,
True,200,37.54,
True,200,62.86,
True,200,43.84,
True,200,40.14,
True,200,51.70,
True,200,31.80,
True,200,41.29,
True,200,51.32,
True,200,40.09,
True,200,34.91,
True,200,41.39,
True,200,47.13,
True,200,47.52,
True,200,57.61,
True,200,54.62,
True,200,57.59,
True,200,49.98,
True,200,62.50,
True,200,50.48,
True,200,41.28,
True,200,45.92,
True,200,60.57,
True,200,44.13,
True,200,40.27,
True,200,36.91,
True,200,43.86,
True,200,38.46,
True,200,34.21,
True,200,57.42,
True,200,32.19,
True,200,62.97,
True,200,47.50,
True,200,32.35,
True,200,40.59,
True,200,63.62,
True,200,47.74,
True,200,45.18,
True,200,40.79,
True,200,65.66,
True,200,35.18,
True,200,59.87,
True,200,38.85,
True,200,45.40,
True,200,40.53,
True,200,42.84,
True,200,28.39,
True,200,48.30,
True,200,61.71,
True,200,55.03,
True,200,36.19,
True,200,43.71,
True,200,59.75,
True,200,49.95,
True,200,56.21,
True,200,53.27,
True,200,52.88,
True,200,54.10,
True,200,59.98,
True,200,45.96,
True,200,53.31,
True,200,50.43,
True,200,41.65,
True,200,42.18,
True,200,39.60,
True,200,60.04,
True,200,38.67,
True,200,60.46,
True,200,46.72,
True,200,55.25,
True,200,50.95,
True,200,40.50,
True,200,45.53,
True,200,40.77,
True,200,34.55,
True,200,53.07,
True,200,54.39,
True,200,44.50,
True,200,64.09,
True,200,48.34,
True,200,46.92,
True,200,34.97,
True,200,47.81,
True,200,44.19,
True,200,44.91,
True,200,54.12,
True,200,57.01,
True,200,28.21,
True,200,56.79,
True,200,40.92,
True,200,36.06,
True,200,28.69,
True,200,41.33,
True,200,52.67,
True,200,47.65,
True,200,61.81,
True,200,56.26,
True,200,44.93,
True,200,43.64,
True,200,70.87,
True,200,39.91,
True,200,41.95,
True,200,41.98,
True,200,33.40,
True,200,42.73,
True,200,48.44,
True,200,31.95,
True,200,55.89,
True,200,45.84,
True,200,43.30,
True,200,38.06,
True,200,52.52,
True,200,46.46,
True,200,42.33,
True,200,59.35,
True,200,41.99,
True,200,38.30,
True,200,45.47,
True,200,53.39,
True,200,38.01,
True,200,56.54,
True,200,36.45,
True,200,55.00,
True,200,40.08,
True,200,61.25,
True,200,39.64,
True,200,41.76,
True,200,46.06,
True,200,45.47,
True,200,43.78,
True,200,43.54,
True,200,51.94,
True,200,40.62,
True,200,46.73,
True,200,29.82,
True,200,66.43,
True,200,57.61,
True,200,24.50,
True,200,49.33,
True,200,59.24,
True,200,31.89,
True,200,54.40,
True,200,44.72,
True,200,58.59,
True,200,36.16,
True,200,57.16,
True,200,40.29,
