ok,status,latency_ms,error
True,200,19.64,
True,200,23.33,
True,200,18.13,
True,200,40.18,
True,200,33.67,
True,200,35.50,
True,200,47.17,
True,200,25.29,
True,200,36.21,
True,200,35.85,
True,200,14.49,
True,200,47.11,
True,200,20.57,
True,200,30.83,
True,200,41.52,
True,200,15.78,
True,200,15.30,
True,200,57.28,
True,200,41.86,
True,200,50.17,
True,200,47.80,
True,200,48.90,
True,200,55.20,
True,200,56.56,
True,200,42.58,
True,200,36.35,
True,200,63.06,
True,200,65.78,
True,200,42.13,
True,200,49.04,
True,200,66.19,
True,200,52.84,
True,200,38.98,
True,200,45.17,
True,200,69.33,
True,200,50.78,
True,200,64.83,
True,200,63.24,
True,200,45.67,
True,200,43.11,
True,200,43.45,
True,200,57.47,
True,200,55.79,
True,200,87.70,
True,200,59.53,
True,200,26.65,
True,200,35.91,
True,200,59.43,
True,200,39.27,
True,200,55.03,
True,200,54.96,
True,200,35.89,
True,200,31.88,
True,200,48.90,
True,200,59.41,
True,200,53.43,
True,200,47.44,
True,200,61.15,
True,200,38.50,
True,200,31.11,
True,200,41.55,
True,200,54.08,
True,200,46.46,
True,200,39.33,
True,200,48.09,
True,200,38.22,
True,200,63.49,
True,200,46.46,
True,200,51.11,
True,200,43.52,
True,200,57.60,
True,200,54.56,
True,200,48.98,
True,200,48.94,
True,200,50.01,
True,200,32.02,
True,200,54.49,
True,200,59.51,
True,200,62.66,
True,200,48.89,
True,200,45.84,
True,200,42.39,
True,200,61.95,
True,200,34.21,
True,200,63.10,
True,200,50.48,
True,200,63.17,
True,200,34.34,
True,200,49.96,
True,200,50.05,
True,200,59.09,
True,200,33.38,
True,200,41.39,
True,200,32.66,
True,200,48.95,
True,200,56.91,
True,200,62.28,
True,200,41.12,
True,200,46.18,
True,200,67.83,
True,200,34.00,
True,200,32.10,
True,200,37.27,
True,200,27.58,
True,200,49.55,
True,200,47.06,
True,200,74.36,
True,200,47.88,
True,200,47.34,
True,200,46.60,
True,200,45.41,
True,200,61.06,
True,200,50.68,
True,200,55.42,
True,200,38.78,
True,200,50.91,
True,200,62.40,
True,200,45.33,
True,200,48.26,
True,200,75.96,
True,200,61.31,
True,200,58.48,
True,200,44.78,
True,200,58.18,
True,200,56.55,
True,200,41.18,
True,200,19.93,
True,200,53.09,
True,200,38.22,
True,200,52.85,
True,200,42.19,
True,200,56.33,
True,200,62.09,
True,200,45.36,
True,200,46.83,
True,200,60.43,
True,200,62.06,
True,200,53.41,
True,200,53.71,
True,200,51.81,
True,200,58.73,
True,200,44.11,
True,200,46.30,
True,200,40.69,
True,200,55.05,
True,200,48.49,
True,200,32.68,
True,200,59.11,
True,200,46.29,
True,200,42.39,
True,200,45.18,
True,200,68.51,
True,200,38.11,
True,200,62.73,
True,200,60.78,
True,200,35.42,
True,200,28.97,
True,200,53.47,
True,200,37.71,
True,200,36.55,
True,200,60.73,
True,200,51.15,
True,200,41.58,
True,200,37.83,
True,200,49.49,
True,200,47.52,
True,200,74.90,
True,200,28.89,
True,200,48.11,
True,200,49.68,
True,200,41.60,
True,200,55.79,
True,200,40.29,
True,200,48.12,
True,200,30.41,
True,200,36.21,
True,200,51.39,
True,200,33.80,
True,200,31.48,
True,200,37.13,
True,200,46.22,
True,200,49.01,
True,200,40.67,
True,200,58.38,
True,200,66.40,
True,200,41.88,
True,200,21.76,
True,200,35.69,
True,200,40.34,
True,200,44.88,
True,200,42.14,
True,200,70.61,
True,200,49.22,
True,200,42.17,
True,200,40.12,
True,200,64.81,
True,200,36.42,
True,200,34.28,
True,200,43.27,
True,200,61.06,
True,200,29.99,
True,200,36.31,
True,200,52.23,
True,200,43.57,
True,200,54.31,
True,200,34.86,
True,200,33.18,
True,200,44.67,
True,200,56.91,
True,200,54.42,
True,200,56.15,
True,200,61.47,
True,200,51.96,
True,200,40.90,
True,200,42.74,
True,200,42.26,
True,200,45.91,
True,200,51.76,
True,200,62.55,
True,200,50.47,
True,200,29.56,
True,200,50.33,
True,200,46.40,
True,200,44.90,
True,200,43.74,
True,200,46.75,
True,200,44.04,
True,200,62.47,
True,200,41.59,
True,200,48.17,
True,200,46.03,
True,200,55.22,
True,200,29.04,
True,200,61.19,
True,200,53.33,
True,200,63.66,
True,200,35.54,
True,200,45.23,
True,200,49.94,
True,200,43.33,
True,200,66.02,
True,200,56.56,
True,200,42.85,
True,200,41.07,
True,200,51.69,
True,200,33.05,
True,200,36.42,
True,200,52.16,
True,200,28.80,
True,200,38.32,
True,200,51.33,
True,200,51.37,
True,200,51.05,
True,200,48.15,
True,200,43.54,
True,200,51.41,
True,200,51.62,
True,200,55.82,
True,200,45.58,
True,200,70.01,
True,200,29.92,
True,200,44.29,
True,200,34.98,
True,200,46.08,
True,200,65.21,
True,200,55.11,
True,200,33.03,
True,200,55.52,
True,200,56.83,
