timestamp,cpu_percent,rss_mb
2026-09-03T16:05:08,0.00,181.54
2026-09-03T16:05:09,1793.70,181.56
2026-09-03T16:05:10,1848.90,181.53
2026-09-03T16:05:11,1862.30,181.54
2026-09-03T16:05:12,1857.40,181.55
2026-09-03T16:05:13,1876.70,181.56
