ok,status,latency_ms,error
True,200,14.38,
True,200,23.76,
True,200,34.19,
True,200,36.57,
True,200,19.10,
True,200,23.35,
True,200,14.14,
True,200,30.84,
True,200,40.57,
True,200,28.88,
True,200,29.15,
True,200,14.19,
True,200,27.74,
True,200,31.57,
True,200,21.20,
True,200,27.67,
True,200,24.84,
True,200,42.22,
True,200,40.73,
True,200,36.43,
True,200,44.39,
True,200,52.62,
True,200,54.78,
True,200,56.86,
True,200,46.98,
True,200,55.83,
True,200,50.97,
True,200,38.69,
True,200,48.06,
True,200,47.92,
True,200,56.20,
True,200,50.59,
True,200,65.88,
True,200,63.79,
True,200,26.57,
True,200,32.96,
True,200,40.08,
True,200,45.26,
True,200,49.46,
True,200,50.92,
True,200,68.94,
True,200,40.37,
True,200,48.72,
True,200,40.66,
True,200,64.88,
True,200,45.59,
True,200,60.89,
True,200,74.16,
True,200,47.75,
True,200,39.02,
True,200,38.00,
True,200,36.14,
True,200,33.48,
True,200,42.66,
True,200,48.10,
True,200,34.53,
True,200,57.28,
True,200,33.04,
True,200,60.09,
True,200,53.19,
True,200,50.95,
True,200,40.08,
True,200,36.13,
True,200,53.45,
True,200,40.94,
True,200,53.38,
True,200,52.98,
True,200,38.82,
True,200,39.70,
True,200,43.81,
True,200,27.67,
True,200,54.81,
True,200,42.24,
True,200,45.44,
True,200,69.69,
True,200,42.81,
True,200,39.45,
True,200,53.40,
True,200,44.04,
True,200,54.51,
True,200,43.53,
True,200,55.01,
True,200,34.76,
True,200,45.84,
True,200,39.20,
True,200,29.93,
True,200,64.42,
True,200,52.57,
True,200,43.77,
True,200,24.56,
True,200,48.55,
True,200,39.42,
True,200,49.67,
True,200,57.41,
True,200,35.02,
True,200,39.40,
True,200,58.86,
True,200,37.81,
True,200,45.99,
True,200,58.77,
True,200,59.51,
True,200,51.82,
True,200,56.80,
True,200,53.15,
True,200,53.00,
True,200,51.72,
True,200,41.47,
True,200,41.77,
True,200,41.83,
True,200,46.13,
True,200,28.13,
True,200,40.73,
True,200,54.63,
True,200,44.15,
True,200,49.10,
True,200,39.32,
True,200,40.89,
True,200,34.23,
True,200,47.18,
True,200,33.78,
True,200,40.49,
True,200,39.32,
True,200,63.86,
True,200,34.52,
True,200,68.89,
True,200,40.06,
True,200,43.13,
True,200,47.70,
True,200,52.01,
True,200,25.11,
True,200,43.97,
True,200,18.87,
True,200,50.83,
True,200,46.96,
True,200,37.79,
True,200,48.00,
True,200,54.55,
True,200,67.14,
True,200,37.09,
True,200,29.24,
True,200,65.19,
True,200,41.78,
True,200,56.12,
True,200,72.30,
True,200,43.32,
True,200,69.88,
True,200,53.54,
True,200,46.66,
True,200,33.35,
True,200,28.61,
True,200,41.41,
True,200,80.30,
True,200,48.75,
True,200,35.05,
True,200,45.68,
True,200,39.74,
True,200,50.06,
True,200,49.15,
True,200,48.57,
True,200,35.00,
True,200,52.97,
True,200,65.72,
True,200,66.35,
True,200,49.82,
True,200,58.38,
True,200,41.75,
True,200,61.43,
True,200,47.87,
True,200,34.19,
True,200,49.64,
True,200,48.72,
True,200,29.03,
True,200,57.07,
True,200,20.26,
True,200,42.88,
True,200,40.62,
True,200,55.29,
True,200,48.67,
True,200,73.87,
True,200,51.14,
True,200,56.48,
True,200,45.23,
True,200,36.58,
True,200,39.24,
True,200,60.21,
True,200,30.26,
True,200,51.49,
True,200,46.43,
True,200,45.76,
True,200,62.13,
True,200,43.89,
True,200,48.58,
True,200,61.40,
True,200,39.08,
True,200,52.61,
True,200,45.01,
True,200,28.60,
True,200,42.50,
True,200,52.44,
True,200,36.33,
True,200,46.86,
True,200,65.33,
True,200,48.61,
True,200,40.19,
True,200,44.72,
True,200,30.27,
True,200,43.13,
True,200,41.81,
True,200,55.05,
True,200,57.45,
True,200,47.11,
True,200,57.68,
True,200,40.29,
True,200,31.06,
True,200,55.60,
True,200,58.02,
True,200,44.38,
True,200,26.34,
True,200,43.98,
True,200,63.38,
True,200,40.38,
True,200,43.79,
True,200,39.72,
True,200,59.79,
True,200,49.26,
True,200,40.10,
True,200,42.84,
True,200,36.30,
True,200,48.96,
True,200,41.05,
True,200,43.17,
True,200,42.05,
True,200,36.73,
True,200,64.39,
True,200,48.46,
True,200,48.72,
True,200,68.91,
True,200,40.76,
True,200,51.50,
True,200,39.16,
True,200,47.51,
True,200,58.72,
True,200,36.78,
True,200,36.54,
True,200,45.45,
True,200,33.93,
True,200,39.16,
True,200,58.13,
True,200,45.01,
True,200,40.00,
True,200,35.74,
True,200,35.27,
True,200,38.24,
True,200,60.59,
True,200,34.48,
True,200,55.03,
True,200,38.65,
True,200,55.62,
True,200,40.69,
True,200,66.95,
True,200,42.69,
True,200,33.73,
True,200,54.93,
True,200,49.54,
True,200,39.99,
True,200,39.55,
True,200,43.98,
True,200,57.96,
True,200,30.38,
True,200,38.28,
True,200,36.64,
True,200,23.93,
True,200,64.20,
True,200,48.95,
True,200,37.92,
True,200,46.74,
True,200,42.48,
True,200,44.45,
True,200,55.33,
True,200,65.08,
True,200,44.18,
True,200,38.71,
True,200,36.49,
True,200,42.78,
True,200,48.51,
True,200,46.71,
True,200,58.16,
True,200,32.74,
True,200,51.74,
True,200,61.62,
True,200,44.48,
True,200,39.35,
True,200,41.24,
True,200,36.28,
True,200,55.17,
True,200,47.75,
True,200,38.41,
True,200,46.96,
True,200,48.65,
True,200,38.41,
True,200,45.06,
True,200,29.61,
True,200,51.32,
True,200,54.68,
True,200,53.37,
True,200,37.85,
True,200,55.47,
True,200,35.05,
True,200,53.96,
True,200,38.55,
True,200,54.21,
True,200,45.11,
True,200,56.19,
True,200,36.85,
True,200,44.58,
True,200,52.73,
True,200,34.16,
True,200,30.76,
True,200,45.42,
True,200,50.50,
True,200,46.67,
True,200,43.58,
True,200,48.27,
True,200,50.55,
True,200,62.27,
True,200,28.52,
True,200,59.89,
True,200,67.34,
True,200,51.45,
True,200,51.48,
True,200,50.46,
True,200,36.46,
True,200,41.41,
True,200,51.21,
True,200,24.15,
True,200,42.78,
True,200,58.83,
True,200,51.94,
True,200,49.53,
True,200,34.02,
True,200,50.10,
True,200,32.96,
True,200,42.47,
True,200,58.32,
True,200,49.49,
True,200,35.44,
True,200,47.72,
True,200,38.29,
True,200,35.00,
True,200,39.67,
True,200,41.96,
True,200,69.32,
True,200,51.84,
True,200,47.40,
True,200,36.36,
True,200,38.42,
True,200,41.53,
True,200,72.22,
True,200,60.62,
True,200,39.50,
True,200,52.21,
True,200,48.09,
True,200,51.11,
True,200,36.70,
True,200,49.45,
True,200,46.31,
True,200,46.38,
True,200,57.62,
True,200,47.69,
True,200,42.58,
True,200,32.59,
True,200,34.75,
True,200,35.33,
True,200,36.79,
True,200,34.37,
True,200,50.25,
True,200,54.20,
True,200,56.21,
True,200,43.72,
True,200,52.29,
True,200,50.82,
True,200,50.26,
True,200,42.75,
True,200,66.93,
True,200,52.21,
True,200,52.12,
True,200,37.61,
True,200,29.03,
True,200,56.15,
True,200,42.30,
True,200,45.99,
True,200,41.66,
True,200,35.71,
True,200,60.41,
True,200,30.42,
True,200,42.98,
True,200,54.55,
True,200,60.08,
True,200,47.10,
True,200,34.84,
True,200,39.05,
True,200,41.79,
True,200,40.20,
True,200,56.35,
True,200,39.39,
True,200,40.27,
True,200,46.44,
True,200,23.18,
True,200,40.02,
True,200,38.37,
True,200,56.56,
True,200,66.10,
True,200,58.75,
True,200,36.23,
True,200,72.56,
True,200,42.35,
True,200,36.69,
True,200,48.94,
True,200,37.85,
True,200,39.19,
True,200,55.96,
True,200,29.23,
True,200,69.62,
True,200,38.68,
True,200,57.91,
True,200,33.75,
True,200,57.53,
True,200,35.38,
True,200,60.55,
True,200,54.00,
True,200,25.74,
True,200,43.16,
True,200,53.44,
True,200,53.24,
True,200,37.92,
True,200,30.51,
True,200,38.28,
True,200,37.09,
True,200,51.34,
True,200,37.86,
True,200,35.30,
True,200,25.74,
True,200,54.58,
True,200,53.88,
True,200,43.63,
True,200,45.52,
True,200,45.04,
True,200,36.06,
True,200,54.59,
True,200,39.39,
True,200,34.19,
True,200,84.82,
True,200,35.38,
True,200,41.01,
True,200,43.59,
True,200,52.72,
True,200,43.34,
True,200,35.17,
True,200,34.68,
True,200,57.67,
True,200,33.01,
True,200,39.36,
True,200,69.76,
True,200,44.28,
True,200,55.00,
True,200,39.76,
True,200,31.46,
True,200,60.06,
True,200,39.02,
True,200,56.79,
True,200,39.91,
True,200,35.99,
True,200,54.96,
True,200,42.93,
True,200,59.57,
True,200,52.46,
True,200,41.43,
True,200,33.18,
True,200,43.45,
True,200,57.46,
True,200,36.11,
True,200,48.74,
True,200,27.18,
True,200,38.67,
True,200,39.34,
True,200,42.56,
True,200,30.81,
True,200,38.71,
True,200,46.78,
True,200,59.86,
True,200,38.99,
True,200,25.67,
True,200,50.28,
